Nom,Isin,Symbole,Marche,Mic
TXCOM,FR0010654087,ALTXC,Alternext_Paris,ALXP
UCAR,FR0011070457,ALUCR,Alternext_Paris,ALXP
UMANIS,FR0010949388,ALUMS,Alternext_Paris,ALXP
VDI_GROUP,FR0010337865,ALVDI,Alternext_Paris,ALXP
VELCAN,FR0010245803,ALVEL,Alternext_Paris,ALXP
VERGNET,FR0004155240,ALVER,Alternext_Paris,ALXP
VEXIM,FR0011072602,ALVXM,Alternext_Paris,ALXP
VEXIM_BS,FR0012353530,VXMBS,Alternext_Paris,ALXP
VIALIFE,FR0010326090,ALVIA,Alternext_Paris,ALXP
VISIATIV,FR0004029478,ALVIV,Alternext_Paris,ALXP
VISIOMED_GROUP,FR0011067669,ALVMG,Alternext_Paris,ALXP
VOYAGEURS_DU_MONDE,FR0004045847,ALVDM,Alternext_Paris,ALXP
WALLIX,FR0010131409,ALLIX,Alternext_Paris,ALXP
WE.CONNECT,FR0013079092,ALWEC,Alternext_Paris,ALXP
WEBORAMA,FR0010337444,ALWEB,Alternext_Paris,ALXP
WEDIA,FR0010688440,ALWED,Alternext_Paris,ALXP
WITBE,FR0013143872,ALWIT,Alternext_Paris,ALXP
COFINA-SGPS,PTCFN0AE0003,CFN,Euronext_Lisbon,XLIS
CIMPOR-SGPS,PTCPR0AM0003,CPR,Euronext_Lisbon,XLIS
AGUAS_DA_CURIA,PTCUR0AP0000,CUR,Easynext_Lisbon,ENXL
CIPAN,PTCPN0AE0002,CPN,Easynext_Lisbon,ENXL
CONDURIL,PTCDU0AE0003,CDU,Easynext_Lisbon,ENXL
COPAM,PTCPA0AP0006,CPA,Easynext_Lisbon,ENXL
FENALU,PTFEN0AP0006,FEN,Easynext_Lisbon,ENXL
LITHO_FORMAS,PTLIT0AE0005,LIT,Easynext_Lisbon,ENXL
OLIVEIRA_IRMAO,PTOIR0AE0003,OIR,Easynext_Lisbon,ENXL
S.CLUBE_BRAGA,PTSCB0AM0001,SCB,Easynext_Lisbon,ENXL
SONAGI,PTSNG0AE0007,SNG,Easynext_Lisbon,ENXL
TRANSINSULAR,PTTRA0AP0006,TRAAP,Easynext_Lisbon,ENXL
AALBERTS_INDUSTR,NL0000852564,AALB,Euronext_Amsterdam,XAMS
ABN_AMRO_Group,NL0011540547,ABN,Euronext_Amsterdam,XAMS
ACCELL_GROUP,NL0009767532,ACCEL,Euronext_Amsterdam,XAMS
ACCSYS,GB00BQQFX454,AXS,Euronext_Amsterdam,XAMS
AEGON,NL0000303709,AGN,Euronext_Amsterdam,XAMS
AHOLD_DEL,NL0011794037,AD,Euronext_Amsterdam,XAMS
AJAX,NL0000018034,AJAX,Euronext_Amsterdam,XAMS
AKZO_NOBEL,NL0000009132,AKZA,Euronext_Amsterdam,XAMS
ALTICE,NL0011333752,ATC,Euronext_Amsterdam,XAMS
ALTICE_B,NL0011333760,ATCB,Euronext_Amsterdam,XAMS
AMG,NL0000888691,AMG,Euronext_Amsterdam,XAMS
AMSTERDAM_COMMOD.,NL0000313286,ACOMO,Euronext_Amsterdam,XAMS
AND_INTERNATIONAL,NL0000430106,AND,Euronext_Amsterdam,XAMS
AP_ALTERNAT_ASSETS,GB00B15Y0C52,AAA,Euronext_Amsterdam,XAMS
APERAM,LU0569974404,APAM,Euronext_Amsterdam,XAMS
ARCADIS,NL0006237562,ARCAD,Euronext_Amsterdam,XAMS
ARCELORMITTAL_SA,LU1598757687,MT,Euronext_Amsterdam,XAMS
ASM_INTERNATIONAL,NL0000334118,ASM,Euronext_Amsterdam,XAMS
ASML_HOLDING,NL0010273215,ASML,Euronext_Amsterdam,XAMS
ASR_NEDERLAND,NL0011872643,ASRNL,Euronext_Amsterdam,XAMS
ATRIUM_EUR_REALEST,JE00B3DCF752,ATRS,Euronext_Amsterdam,XAMS
AVANTIUM,NL0012047823,AVTX,Euronext_Amsterdam,XAMS
BAM_GROEP_KON,NL0000337319,BAMNB,Euronext_Amsterdam,XAMS
BASIC-FIT,NL0011872650,BFIT,Euronext_Amsterdam,XAMS
BATENBURG_TECHNIEK,NL0006292906,BATEN,Euronext_Amsterdam,XAMS
BE_SEMICONDUCTOR,NL0000339760,BESI,Euronext_Amsterdam,XAMS
BETER_BED,NL0000339703,BBED,Euronext_Amsterdam,XAMS
BEVER_HOLDING,NL0000285278,BEVER,Euronext_Amsterdam,XAMS
BINCKBANK,NL0000335578,BINCK,Euronext_Amsterdam,XAMS
BOSKALIS_WESTMIN,NL0000852580,BOKA,Euronext_Amsterdam,XAMS
BOUSSARD_GAVAUD_C,GG00B1XFMJ13,BGHLC,Euronext_Amsterdam,XAMS
BOUSSARD_GAVAUDAN,GG00B1FQG453,BGHL,Euronext_Amsterdam,XAMS
BOUSSARD_GHL_GBP,GG00B39VMM07,BGHS,Euronext_Amsterdam,XAMS
